Column,Metric,Score,Error
retail_visit_per_hundred and week_counter,CorrelationSimilarity,,
retail_visit_per_hundred and week_counter_log,CorrelationSimilarity,,
retail_visit_per_hundred and population,CorrelationSimilarity,0.7640039742434868,
COVID_news_cable and urban_population_percentage,CorrelationSimilarity,,
COVID_news_cable and image_users,CorrelationSimilarity,,
COVID_news_cable and mask_users,CorrelationSimilarity,,
COVID_news_cable and population_density,CorrelationSimilarity,,
COVID_news_cable and week_counter,CorrelationSimilarity,,
COVID_news_cable and week_counter_log,CorrelationSimilarity,,
COVID_news_cable and population,CorrelationSimilarity,,
urban_population_percentage and image_users,CorrelationSimilarity,0.648418698960377,
urban_population_percentage and mask_users,CorrelationSimilarity,,
urban_population_percentage and population_density,CorrelationSimilarity,0.7622058214356262,
urban_population_percentage and week_counter,CorrelationSimilarity,,
urban_population_percentage and week_counter_log,CorrelationSimilarity,,
urban_population_percentage and population,CorrelationSimilarity,0.9649821668492014,
image_users and mask_users,CorrelationSimilarity,,
image_users and population_density,CorrelationSimilarity,0.9498887776308026,
image_users and week_counter,CorrelationSimilarity,,
image_users and week_counter_log,CorrelationSimilarity,,
image_users and population,CorrelationSimilarity,0.9304349759670089,
mask_users and population_density,CorrelationSimilarity,,
mask_users and week_counter,CorrelationSimilarity,,
mask_users and week_counter_log,CorrelationSimilarity,,
mask_users and population,CorrelationSimilarity,,
population_density and week_counter,CorrelationSimilarity,,
population_density and week_counter_log,CorrelationSimilarity,,
population_density and population,CorrelationSimilarity,0.9625787178319563,
week_counter and week_counter_log,CorrelationSimilarity,,
week_counter and population,CorrelationSimilarity,,
week_counter_log and population,CorrelationSimilarity,,
All Pairs,Average Corr Similarity,0.23399064624468233,
